x           f(x)
-500.000    238.394
-495.000    292.950
-490.000    348.281
-485.000    403.675
-480.000    458.417
-475.000    511.793
-470.000    563.106
-465.000    611.682
-460.000    656.880
-455.000    698.102
-450.000    734.801
-445.000    766.489
-440.000    792.748
-435.000    813.232
-430.000    827.680
-425.000    835.914
-420.000    837.847
-415.000    833.489
-410.000    822.940
-405.000    806.400
-400.000    784.161
-395.000    756.605
-390.000    724.204
-385.000    687.509
-380.000    647.144
-375.000    603.801
-370.000    558.224
-365.000    511.200
-360.000    463.548
-355.000    416.103
-350.000    369.703
-345.000    325.173
-340.000    283.310
-335.000    244.869
-330.000    210.545
-325.000    180.962
-320.000    156.656
-315.000    138.065
-310.000    125.515
-305.000    119.215
-300.000    119.244
-295.000    125.552
-290.000    137.953
-285.000    156.129
-280.000    179.628
-275.000    207.880
-270.000    240.196
-265.000    275.789
-260.000    313.784
-255.000    353.241
-250.000    393.173
-245.000    432.570
-240.000    470.428
-235.000    505.768
-230.000    537.670
-225.000    565.298
-220.000    587.922
-215.000    604.951
-210.000    615.946
-205.000    620.647
-200.000    618.980
-195.000    611.075
-190.000    597.260
-185.000    578.067
-180.000    554.218
-175.000    526.608
-170.000    496.282
-165.000    464.401
-160.000    432.206
-155.000    400.971
-150.000    371.951
-145.000    346.335
-140.000    325.183
-135.000    309.375
-130.000    299.560
-125.000    296.110
-120.000    299.084
-115.000    308.204
-110.000    322.846
-105.000    342.057
-100.000    364.581
-95.000    388.917
-90.000    413.402
-85.000    436.306
-80.000    455.961
-75.000    470.897
-70.000    479.985
-65.000    482.578
-60.000    478.633
-55.000    468.796
-50.000    454.426
-45.000    437.538
-40.000    420.637
-35.000    406.421
-30.000    397.338
-25.000    395.010
-20.000    399.557
-15.000    408.964
-10.000    418.776
-5.000    422.917
0.000    418.983
5.000    415.049
10.000    419.190
15.000    429.001
20.000    438.408
25.000    442.956
30.000    440.628
35.000    431.545
40.000    417.329
45.000    400.428
50.000    383.540
55.000    369.170
60.000    359.333
65.000    355.388
70.000    357.980
75.000    367.068
80.000    382.005
85.000    401.660
90.000    424.564
95.000    449.048
100.000    473.385
105.000    495.909
110.000    515.120
115.000    529.762
120.000    538.881
125.000    541.855
130.000    538.406
135.000    528.591
140.000    512.783
145.000    491.631
150.000    466.014
155.000    436.995
160.000    405.760
165.000    373.565
170.000    341.684
175.000    311.358
180.000    283.748
185.000    259.899
190.000    240.706
195.000    226.891
200.000    218.985
205.000    217.319
210.000    222.020
215.000    233.015
220.000    250.043
225.000    272.668
230.000    300.295
235.000    332.198
240.000    367.538
245.000    405.395
250.000    444.793
255.000    484.725
260.000    524.181
265.000    562.177
270.000    597.769
275.000    630.086
280.000    658.337
285.000    681.837
290.000    700.012
295.000    712.414
300.000    718.721
305.000    718.751
310.000    712.451
315.000    699.901
320.000    681.310
325.000    657.004
330.000    627.421
335.000    593.097
340.000    554.656
345.000    512.793
350.000    468.263
355.000    421.863
360.000    374.418
365.000    326.766
370.000    279.742
375.000    234.165
380.000    190.821
385.000    150.457
390.000    113.762
395.000    81.360
400.000    53.805
405.000    31.565
410.000    15.025
415.000    4.477
420.000    0.118
425.000    2.052
430.000    10.286
435.000    24.733
440.000    45.218
445.000    71.477
450.000    103.165
455.000    139.864
460.000    181.086
465.000    226.284
470.000    274.860
475.000    326.173
480.000    379.549
485.000    434.290
490.000    489.685
495.000    545.016
500.000    599.572
